"pk","nodeId","alias","icon","thumbnail","description","isContainer","isElement","allowAtRoot","variations"
"532","1031","Folder","icon-folder","icon-folder","","False","False","True","0"
"533","1032","Image","icon-picture","icon-picture","","False","False","True","0"
"534","1033","File","icon-document","icon-document","","False","False","True","0"
"531","1044","Member","icon-user","icon-user","","False","False","False","0"
"535","1092","contentBase","icon-document","folder.png","","False","False","False","0"
"536","1093","navigationBase","icon-nodes color-black","folder.png","","False","False","False","0"
"537","1094","products","icon-shopping-basket color-black","folder.png","","True","False","False","0"
"538","1095","product","icon-sweatshirt color-black","folder.png","","False","False","False","0"
"539","1096","person","icon-user-female color-black","folder.png","","False","False","False","0"
"540","1097","people","icon-user-females-alt color-black","folder.png","","True","False","False","0"
"541","1098","home","icon-home color-black","folder.png","","False","False","True","0"
"542","1099","feature","icon-plugin color-black","folder.png","","False","True","False","0"
"543","1100","contentPage","icon-document","folder.png","","False","False","False","0"
"544","1101","contact","icon-map-location color-black","folder.png","","False","False","False","0"
"545","1102","blogpost","icon-calendar color-black","folder.png","","False","False","False","0"
"546","1103","blog","icon-calendar-alt color-black","folder.png","","True","False","False","0"
