"id","dataTypeId","contentTypeId","propertyTypeGroupId","Alias","Name","sortOrder","mandatory","mandatoryMessage","validationRegExp","validationRegExpMessage","Description","variations","UniqueID"
"6","1043","1032","3","umbracoFile","Upload image","0","True","","","","","0","00000006-0000-0000-0000-000000000000"
"7","-91","1032","3","umbracoWidth","Width","0","False","","","","in pixels","0","00000007-0000-0000-0000-000000000000"
"8","-91","1032","3","umbracoHeight","Height","0","False","","","","in pixels","0","00000008-0000-0000-0000-000000000000"
"9","-93","1032","3","umbracoBytes","Size","0","False","","","","in bytes","0","00000009-0000-0000-0000-000000000000"
"10","-92","1032","3","umbracoExtension","Type","0","False","","","","","0","0000000a-0000-0000-0000-000000000000"
"24","-90","1033","4","umbracoFile","Upload file","0","True","","","","","0","00000018-0000-0000-0000-000000000000"
"25","-92","1033","4","umbracoExtension","Type","0","False","","","","","0","00000019-0000-0000-0000-000000000000"
"26","-93","1033","4","umbracoBytes","Size","0","False","","","","in bytes","0","0000001a-0000-0000-0000-000000000000"
"28","-89","1044","11","umbracoMemberComments","Comments","0","False","","","","","0","0000001c-0000-0000-0000-000000000000"
"29","-91","1044","11","umbracoMemberFailedPasswordAttempts","Failed Password Attempts","1","False","","","","","0","0000001d-0000-0000-0000-000000000000"
"30","-49","1044","11","umbracoMemberApproved","Is Approved","2","False","","","","","0","0000001e-0000-0000-0000-000000000000"
"31","-49","1044","11","umbracoMemberLockedOut","Is Locked Out","3","False","","","","","0","0000001f-0000-0000-0000-000000000000"
"32","-94","1044","11","umbracoMemberLastLockoutDate","Last Lockout Date","4","False","","","","","0","00000020-0000-0000-0000-000000000000"
"33","-94","1044","11","umbracoMemberLastLogin","Last Login Date","5","False","","","","","0","00000021-0000-0000-0000-000000000000"
"34","-94","1044","11","umbracoMemberLastPasswordChangeDate","Last Password Change Date","6","False","","","","","0","00000022-0000-0000-0000-000000000000"
"35","-94","1044","11","umbracoMemberPasswordRetrievalQuestion","Password Question","7","False","","","","","0","00000023-0000-0000-0000-000000000000"
"36","-94","1044","11","umbracoMemberPasswordRetrievalAnswer","Password Answer","8","False","","","","","0","00000024-0000-0000-0000-000000000000"
"50","-88","1092","12","pageTitle","Page Title","0","True","","","","The title of the page, this is also the first text in a google search result. The ideal length is between 40 and 60 characters","0","2cf51b4a-d9a4-48b8-b57e-57ddcfd58e4e"
"51","1069","1092","12","bodyText","Content","1","False","","","","","0","44e62e2c-9be2-43f0-8b8b-19754cf6c5e8"
"52","-89","1093","13","seoMetaDescription","Description","0","False","","","","A brief description of the content on your page. This text is shown below the title in a google search result and also used for Social Sharing Cards. The ideal length is between 130 and 155 characters","0","9850c271-b7fa-437b-8645-47d2f2b95258"
"53","1074","1093","13","keywords","Keywords","1","False","","","","Keywords that describe the content of the page. This is considered optional since most modern search engines don't use this anymore","0","f4e6084a-e301-4abe-99db-feb7827ebb12"
"54","-49","1093","13","umbracoNavihide","Hide in Navigation","2","False","","","","If you don't want this page to appear in the navigation, check this box","0","99d8b979-7913-470c-b4a9-3eb6405f6e7f"
"55","1078","1094","14","defaultCurrency","Default Currency","0","True","","","","This is just used to prefix pricing","0","fa62780f-4716-479c-b42f-fabc6cc1a1b2"
